iter	Passed	Remaining
743	5790	1992
744	5797	1984
745	5805	1976
746	5812	1968
747	5819	1960
748	5827	1952
749	5834	1944
750	5841	1936
751	5848	1928
752	5855	1920
753	5863	1912
754	5870	1905
755	5877	1897
756	5885	1889
757	5893	1881
758	5900	1873
759	5908	1865
760	5916	1858
761	5923	1850
762	5930	1842
763	5937	1834
764	5944	1826
765	5952	1818
766	5959	1810
767	5967	1802
768	5974	1794
769	5983	1787
770	5991	1779
771	5998	1771
772	6006	1764
773	6014	1756
774	6023	1748
775	6030	1740
776	6038	1733
777	6046	1725
778	6053	1717
779	6060	1709
780	6068	1701
781	6076	1693
782	6084	1686
783	6093	1678
784	6100	1670
785	6107	1662
786	6115	1655
787	6123	1647
788	6133	1640
789	6141	1632
790	6148	1624
791	6156	1616
792	6164	1609
793	6171	1601
794	6179	1593
795	6187	1585
796	6196	1578
797	6203	1570
798	6211	1562
799	6218	1554
800	6225	1546
801	6233	1538
802	6241	1531
803	6248	1523
804	6256	1515
805	6263	1507
806	6273	1500
807	6281	1492
808	6289	1484
809	6298	1477
810	6305	1469
811	6313	1461
812	6322	1454
813	6328	1446
814	6335	1438
815	6342	1430
816	6349	1422
817	6356	1414
818	6363	1406
819	6372	1398
820	6379	1390
821	6389	1383
822	6396	1375
823	6402	1367
824	6408	1359
825	6417	1351
826	6426	1344
827	6432	1336
828	6441	1328
829	6447	1320
830	6456	1313
831	6464	1305
832	6472	1297
833	6481	1289
834	6490	1282
835	6498	1274
836	6505	1266
837	6516	1259
838	6525	1252
839	6533	1244
840	6540	1236
841	6549	1228
842	6557	1221
843	6566	1213
844	6573	1205
845	6581	1198
846	6589	1190
847	6597	1182
848	6607	1175
849	6614	1167
850	6622	1159
851	6629	1151
852	6635	1143
853	6642	1135
854	6650	1127
855	6658	1120
856	6666	1112
857	6674	1104
858	6684	1097
859	6693	1089
860	6705	1082
861	6714	1075
862	6723	1067
863	6730	1059
864	6738	1051
865	6745	1043
866	6755	1036
867	6763	1028
868	6771	1020
869	6780	1013
870	6787	1005
871	6796	997
872	6804	989
873	6812	982
874	6820	974
875	6828	966
876	6835	958
877	6845	951
878	6853	943
879	6861	935
880	6870	927
881	6878	920
882	6887	912
883	6895	904
884	6905	897
885	6915	889
886	6922	881
887	6931	874
888	6938	866
889	6947	858
890	6957	851
891	6965	843
892	6974	835
893	6982	827
894	6989	820
895	6997	812
896	7005	804
897	7012	796
898	7020	788
899	7027	780
900	7035	773
901	7043	765
902	7051	757
903	7058	749
904	7066	741
905	7074	733
906	7081	726
907	7088	718
908	7097	710
909	7106	702
910	7115	695
911	7124	687
912	7133	679
913	7141	671
914	7149	664
915	7158	656
916	7166	648
917	7174	640
918	7182	633
919	7192	625
920	7199	617
921	7210	610
922	7218	602
923	7228	594
924	7238	586
925	7247	579
926	7255	571
927	7263	563
928	7271	555
929	7279	547
930	7287	540
931	7295	532
932	7302	524
933	7310	516
934	7317	508
935	7327	501
936	7335	493
937	7343	485
938	7351	477
939	7360	469
940	7369	462
941	7376	454
942	7383	446
943	7390	438
944	7397	430
945	7405	422
946	7413	414
947	7421	407
948	7429	399
949	7438	391
950	7445	383
951	7454	375
952	7461	367
953	7473	360
954	7482	352
955	7490	344
956	7497	336
957	7504	329
958	7511	321
959	7519	313
960	7526	305
961	7534	297
962	7543	289
963	7550	281
964	7559	274
965	7566	266
966	7574	258
967	7582	250
968	7589	242
969	7598	234
970	7604	227
971	7611	219
972	7618	211
973	7626	203
974	7634	195
975	7641	187
976	7649	180
977	7655	172
978	7664	164
979	7673	156
980	7681	148
981	7689	140
982	7696	133
983	7704	125
984	7710	117
985	7719	109
986	7728	101
987	7734	93
988	7743	86
989	7750	78
990	7757	70
991	7764	62
992	7772	54
993	7780	46
994	7788	39
995	7795	31
996	7802	23
997	7810	15
998	7816	7
999	7824	0
